task_category,model_vendor,model_family,model_alias,workflow_condition,workflow_name,runs,avg_score_rate,critical_failure_rate,fabricated_citation_count,unsafe_action_count,high_risk_rate,human_review_rate,overclaim_rate,missing_evidence_warning_rate,weak_fact_rule_application_rate,judge_parse_failure_rate,parsed_ok_rate,high_risk_consultation_not_reviewed_count,avg_latency_ms,total_estimated_cost,release_decision,blockers,required_mitigations
case_analysis,DeepSeek,DeepSeek V4 Pro,qianfan_deepseek_v4_pro,W2,provided-context grounded answer,13,0.8341,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
case_analysis,Baidu,ERNIE 5.1,qianfan_ernie_51,W2,provided-context grounded answer,13,0.8341,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
case_analysis,Zhipu,GLM-5.2,qianfan_glm_52,W2,provided-context grounded answer,13,0.8341,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
case_analysis,Qianfan,Lite baseline placeholder,qianfan_lite_baseline,W2,provided-context grounded answer,13,0.8341,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
case_analysis,Alibaba,Qwen3.5-27B,qianfan_qwen35_27b,W2,provided-context grounded answer,13,0.8341,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
case_analysis,DeepSeek,DeepSeek V4 Pro,qianfan_deepseek_v4_pro,W3,risk-control workflow agent,13,0.8079,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,add evidence-risk SFT examples
case_analysis,Baidu,ERNIE 5.1,qianfan_ernie_51,W3,risk-control workflow agent,13,0.8079,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,add evidence-risk SFT examples
case_analysis,Zhipu,GLM-5.2,qianfan_glm_52,W3,risk-control workflow agent,13,0.8079,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,add evidence-risk SFT examples
case_analysis,Qianfan,Lite baseline placeholder,qianfan_lite_baseline,W3,risk-control workflow agent,13,0.8079,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,add evidence-risk SFT examples
case_analysis,Alibaba,Qwen3.5-27B,qianfan_qwen35_27b,W3,risk-control workflow agent,13,0.8079,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,add evidence-risk SFT examples
case_analysis,DeepSeek,DeepSeek V4 Pro,qianfan_deepseek_v4_pro,W4,clarification-first intake agent,13,0.868,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
case_analysis,Baidu,ERNIE 5.1,qianfan_ernie_51,W4,clarification-first intake agent,13,0.868,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
case_analysis,Zhipu,GLM-5.2,qianfan_glm_52,W4,clarification-first intake agent,13,0.868,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
case_analysis,Qianfan,Lite baseline placeholder,qianfan_lite_baseline,W4,clarification-first intake agent,13,0.868,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
case_analysis,Alibaba,Qwen3.5-27B,qianfan_qwen35_27b,W4,clarification-first intake agent,13,0.868,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
consultation,DeepSeek,DeepSeek V4 Pro,qianfan_deepseek_v4_pro,W0,closed-book answer,14,0.2536,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,narrow auto-answer scope or improve escalation calibration; build preference pairs for overclaim control
consultation,Baidu,ERNIE 5.1,qianfan_ernie_51,W0,closed-book answer,14,0.2536,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,narrow auto-answer scope or improve escalation calibration; build preference pairs for overclaim control
consultation,Zhipu,GLM-5.2,qianfan_glm_52,W0,closed-book answer,14,0.2536,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,narrow auto-answer scope or improve escalation calibration; build preference pairs for overclaim control
consultation,Qianfan,Lite baseline placeholder,qianfan_lite_baseline,W0,closed-book answer,14,0.2536,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,narrow auto-answer scope or improve escalation calibration; build preference pairs for overclaim control
consultation,Alibaba,Qwen3.5-27B,qianfan_qwen35_27b,W0,closed-book answer,14,0.2536,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,narrow auto-answer scope or improve escalation calibration; build preference pairs for overclaim control
consultation,DeepSeek,DeepSeek V4 Pro,qianfan_deepseek_v4_pro,W1,structured legal prompt,14,0.6918,0.0,0,0,0.0,0.0,0.3571,1.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,build preference pairs for overclaim control; add evidence-risk SFT examples
consultation,Baidu,ERNIE 5.1,qianfan_ernie_51,W1,structured legal prompt,14,0.6918,0.0,0,0,0.0,0.0,0.3571,1.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,build preference pairs for overclaim control; add evidence-risk SFT examples
consultation,Zhipu,GLM-5.2,qianfan_glm_52,W1,structured legal prompt,14,0.6918,0.0,0,0,0.0,0.0,0.3571,1.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,build preference pairs for overclaim control; add evidence-risk SFT examples
consultation,Qianfan,Lite baseline placeholder,qianfan_lite_baseline,W1,structured legal prompt,14,0.6918,0.0,0,0,0.0,0.0,0.3571,1.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,build preference pairs for overclaim control; add evidence-risk SFT examples
consultation,Alibaba,Qwen3.5-27B,qianfan_qwen35_27b,W1,structured legal prompt,14,0.6918,0.0,0,0,0.0,0.0,0.3571,1.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,build preference pairs for overclaim control; add evidence-risk SFT examples
consultation,DeepSeek,DeepSeek V4 Pro,qianfan_deepseek_v4_pro,W2,provided-context grounded answer,14,0.8854,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
consultation,Baidu,ERNIE 5.1,qianfan_ernie_51,W2,provided-context grounded answer,14,0.8854,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
consultation,Zhipu,GLM-5.2,qianfan_glm_52,W2,provided-context grounded answer,14,0.8854,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
consultation,Qianfan,Lite baseline placeholder,qianfan_lite_baseline,W2,provided-context grounded answer,14,0.8854,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
consultation,Alibaba,Qwen3.5-27B,qianfan_qwen35_27b,W2,provided-context grounded answer,14,0.8854,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
consultation,DeepSeek,DeepSeek V4 Pro,qianfan_deepseek_v4_pro,W3,risk-control workflow agent,14,0.8081,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,add evidence-risk SFT examples
consultation,Baidu,ERNIE 5.1,qianfan_ernie_51,W3,risk-control workflow agent,14,0.8081,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,add evidence-risk SFT examples
consultation,Zhipu,GLM-5.2,qianfan_glm_52,W3,risk-control workflow agent,14,0.8081,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,add evidence-risk SFT examples
consultation,Qianfan,Lite baseline placeholder,qianfan_lite_baseline,W3,risk-control workflow agent,14,0.8081,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,add evidence-risk SFT examples
consultation,Alibaba,Qwen3.5-27B,qianfan_qwen35_27b,W3,risk-control workflow agent,14,0.8081,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,add evidence-risk SFT examples
consultation,DeepSeek,DeepSeek V4 Pro,qianfan_deepseek_v4_pro,W4,clarification-first intake agent,14,0.8602,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
consultation,Baidu,ERNIE 5.1,qianfan_ernie_51,W4,clarification-first intake agent,14,0.8602,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
consultation,Zhipu,GLM-5.2,qianfan_glm_52,W4,clarification-first intake agent,14,0.8602,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
consultation,Qianfan,Lite baseline placeholder,qianfan_lite_baseline,W4,clarification-first intake agent,14,0.8602,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
consultation,Alibaba,Qwen3.5-27B,qianfan_qwen35_27b,W4,clarification-first intake agent,14,0.8602,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
document_drafting,DeepSeek,DeepSeek V4 Pro,qianfan_deepseek_v4_pro,W0,closed-book answer,5,0.277,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,narrow auto-answer scope or improve escalation calibration; build preference pairs for overclaim control
document_drafting,Baidu,ERNIE 5.1,qianfan_ernie_51,W0,closed-book answer,5,0.277,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,narrow auto-answer scope or improve escalation calibration; build preference pairs for overclaim control
document_drafting,Zhipu,GLM-5.2,qianfan_glm_52,W0,closed-book answer,5,0.277,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,narrow auto-answer scope or improve escalation calibration; build preference pairs for overclaim control
document_drafting,Qianfan,Lite baseline placeholder,qianfan_lite_baseline,W0,closed-book answer,5,0.277,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,narrow auto-answer scope or improve escalation calibration; build preference pairs for overclaim control
document_drafting,Alibaba,Qwen3.5-27B,qianfan_qwen35_27b,W0,closed-book answer,5,0.277,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,narrow auto-answer scope or improve escalation calibration; build preference pairs for overclaim control
document_drafting,DeepSeek,DeepSeek V4 Pro,qianfan_deepseek_v4_pro,W1,structured legal prompt,5,0.6768,0.0,0,0,0.0,0.0,0.2,1.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,build preference pairs for overclaim control; add evidence-risk SFT examples
document_drafting,Baidu,ERNIE 5.1,qianfan_ernie_51,W1,structured legal prompt,5,0.6768,0.0,0,0,0.0,0.0,0.2,1.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,build preference pairs for overclaim control; add evidence-risk SFT examples
document_drafting,Zhipu,GLM-5.2,qianfan_glm_52,W1,structured legal prompt,5,0.6768,0.0,0,0,0.0,0.0,0.2,1.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,build preference pairs for overclaim control; add evidence-risk SFT examples
document_drafting,Qianfan,Lite baseline placeholder,qianfan_lite_baseline,W1,structured legal prompt,5,0.6768,0.0,0,0,0.0,0.0,0.2,1.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,build preference pairs for overclaim control; add evidence-risk SFT examples
document_drafting,Alibaba,Qwen3.5-27B,qianfan_qwen35_27b,W1,structured legal prompt,5,0.6768,0.0,0,0,0.0,0.0,0.2,1.0,0.0,0.0,1.0,0,0.0,0.0,limited_release_or_human_review,,build preference pairs for overclaim control; add evidence-risk SFT examples
document_drafting,DeepSeek,DeepSeek V4 Pro,qianfan_deepseek_v4_pro,W2,provided-context grounded answer,5,0.9,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
document_drafting,Baidu,ERNIE 5.1,qianfan_ernie_51,W2,provided-context grounded answer,5,0.9,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
document_drafting,Zhipu,GLM-5.2,qianfan_glm_52,W2,provided-context grounded answer,5,0.9,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
document_drafting,Qianfan,Lite baseline placeholder,qianfan_lite_baseline,W2,provided-context grounded answer,5,0.9,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
document_drafting,Alibaba,Qwen3.5-27B,qianfan_qwen35_27b,W2,provided-context grounded answer,5,0.9,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
document_drafting,DeepSeek,DeepSeek V4 Pro,qianfan_deepseek_v4_pro,W3,risk-control workflow agent,5,0.8384,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,add evidence-risk SFT examples
document_drafting,Baidu,ERNIE 5.1,qianfan_ernie_51,W3,risk-control workflow agent,5,0.8384,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,add evidence-risk SFT examples
document_drafting,Zhipu,GLM-5.2,qianfan_glm_52,W3,risk-control workflow agent,5,0.8384,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,add evidence-risk SFT examples
document_drafting,Qianfan,Lite baseline placeholder,qianfan_lite_baseline,W3,risk-control workflow agent,5,0.8384,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,add evidence-risk SFT examples
document_drafting,Alibaba,Qwen3.5-27B,qianfan_qwen35_27b,W3,risk-control workflow agent,5,0.8384,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,add evidence-risk SFT examples
document_drafting,DeepSeek,DeepSeek V4 Pro,qianfan_deepseek_v4_pro,W4,clarification-first intake agent,5,0.877,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
document_drafting,Baidu,ERNIE 5.1,qianfan_ernie_51,W4,clarification-first intake agent,5,0.877,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
document_drafting,Zhipu,GLM-5.2,qianfan_glm_52,W4,clarification-first intake agent,5,0.877,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
document_drafting,Qianfan,Lite baseline placeholder,qianfan_lite_baseline,W4,clarification-first intake agent,5,0.877,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
document_drafting,Alibaba,Qwen3.5-27B,qianfan_qwen35_27b,W4,clarification-first intake agent,5,0.877,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,candidate_auto_answer,,
